Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,DOI,Microsoft Academic ID
001-265-784-938-910,Georeferenced Social Multimedia as Volunteered Geographic Information,2018-06-27,2018,book chapter,CyberGIS for Geospatial Discovery and Innovation,09245499; 22150072,Springer Netherlands,,Shawn Newsam; Daniel Leung,,,,225,246,Knowledge extraction; Information retrieval; Noisy data; Social multimedia; Relevant information; Computer science; Volunteered geographic information; Semi-supervised learning; Georeference,,10.1007/978-94-024-1531-5_12,2811394263
001-611-971-459-99X,"Combining physiological, environmental and locational sensors for citizen-oriented health applications",2017-02-16,2017,journal article,Environmental monitoring and assessment,15732959; 01676369,Springer Netherlands,Netherlands,Jonathan Huck; James Duncan Whyatt; Paul Coulton; Brian Davison; Adrian Gradinar,"This work investigates the potential of combining the outputs of multiple low-cost sensor technologies for the direct measurement of spatio-temporal variations in phenomena that exist at the interface between our bodies and the environment. The example used herein is the measurement of personal exposure to traffic pollution, which may be considered as a function of the concentration of pollutants in the air and the frequency and volume of that air which enters our lungs. The sensor-based approach described in this paper removes the 'traditional' requirements either to model or interpolate pollution levels or to make assumptions about the physiology of an individual. Rather, a wholly empirical analysis into pollution exposure is possible, based upon high-resolution spatio-temporal data drawn from sensors for NO<sub>2</sub>, nasal airflow and location (GPS). Data are collected via a custom smartphone application and mapped to give an unprecedented insight into exposure to traffic pollution at the individual level. Whilst the quality of data from low-cost miniaturised sensors is not suitable for all applications, there certainly are many applications for which these data would be well suited, particularly those in the field of citizen science. This paper demonstrates both the potential and limitations of sensor-based approaches and discusses the wider relevance of these technologies for the advancement of citizen science.",189,3,114,114,Engineering; Civil engineering; Citizen science; Data science; Traffic pollution; Nasal airflow; Individual level; Smartphone application; Pollution; Global Positioning System,Citizen science; GIS; Sensors; Traffic pollution exposure,10.1007/s10661-017-5817-6,2588496670
001-761-670-002-797,Towards democracy in spatial planning through spatial information built by communities: The investigation of spatial information built by citizens from participatory mapping to volunteered geographic information in Indonesia,2017-06-22,2017,journal article,IOP Conference Series: Earth and Environmental Science,17551307; 17551315,IOP Publishing,,Adipandang Yudono,,70,1,012002,,Environmental resource management; Spatial analysis; Geography; Spatial planning; Participatory mapping; Participatory GIS; Democracy; Volunteered geographic information; Environmental planning,,10.1088/1755-1315/70/1/012002,2638840821
001-816-826-028-623,Assessing the Fragmentation of the Green Infrastructure in Romanian Cities Using Fractal Models and Numerical Taxonomy,,2016,journal article,Procedia Environmental Sciences,18780296,Elsevier BV,,Alexandru-Ionuţ Petrişor; Ion Andronache; Liliana Elza Petrişor; Ana-Maria Ciobotaru; Daniel Peptenatu,"Abstract As the share of urban population increases globally each year, man-dominated systems tend to sprawl over the natural ones, substituting and fragmenting them. Urban sprawl is the main cause of many environmental issues, in tight connection with pollution and loss of biodiversity. One of the main consequences is a decrease of the ecosystem services provided by the urban green infrastructure. However, the extent of urban sprawl is spatially uneven due to the spatial structure of human settlements. Among the methods used to pinpoint sprawl, fractal analyses have a good potential for analyzing fragmentation, especially if used in conjunction with statistical methods. This study aimed to assess, in an exploratory perspective, the level of fragmentation in the Romanian cities covered by the Urban Atlas data, and determine its correlation with parameters related to their demographical and physical characteristics. In addition, taxonomical analyses were used to find whether cities or specific components of the green infrastructure can be grouped. The results did not reveal a general trend, although it seems that the green infrastructure consisted of agricultural/ semi-natural/ wetland areas, forests, green areas, sports and leisure facilities and water bodies in all of them, in different shares; with respect to their distribution, the numerical taxonomy analysis indicated that they form classes matching the types of ‘nature in the city’ previously described by ecologists, despite the particular historical evolution of each city and its particular influence on urban planning. The correlation analysis revealed that the population and its density and the share of the green infrastructure within the total area are significantly correlated with most fractal parameters. Similarly, the fractal dimension of the area, computed using Interactive Quantitative Morphology, seems to correlate with most morphological parameters. However, the taxonomical analysis of cities did not find very relevant groups due to the fact that many large Romanian cities lack Urban Atlas data. The results suggest that the degree of urban fragmentation is correlated especially with the population of cities and its density, reclaiming planning measures aimed at controlling the densification processes (sprawl, gentrification, location of specific activities etc.)",32,,110,123,Human settlement; Ecology; Geography; Economic geography; Gentrification; Green infrastructure; Urban forestry; Population; Urban sprawl; Urban planning; Ecosystem services,,10.1016/j.proenv.2016.03.016,2304097693
001-881-289-141-129,Approaching Bike Hazards via Crowdsourcing of Volunteered Geographic Information,2020-08-28,2020,journal article,Sustainability,20711050,MDPI AG,Switzerland,Rafael Hologa; Nils Riach,"Information on individual hazard perception while cycling and the associated feeling of safety are key aspects to foster sustainable urban cycling mobility. Although cyclist’s perceptions must also be critically reviewed, such crowdsourced Volunteered Geographic Information (VGI) provides wide-ranging insights on diverse hazard categories in cycling. In this case study in the city of Freiburg, Germany, hazard perceptions, information about lane types, and the underlying routes were crowdsourced via an open source smartphone application by a small group with the aim of providing cyclists with effective solutions. By dealing with levels of reliability, we show that even a small group of laypersons can generate an extensive and valuable set of VGI consisting of comprehensive hazard categories. We demonstrate that (1) certain hazards are interlinked to specific lane types, and (2) the individual hazard perceptions and objective parameters, i.e., accident data, are often congruent spatially; consequently, (3) dangerous hot spots can be derived. By considering cyclists’ needs, this approach outlines how a people-based perspective can supplement regional planning on the local scale.",12,17,7015,,Feeling; Regional planning; Geography; Data science; Perception; Local scale; Hazard perception; Open source; Volunteered geographic information; Crowdsourcing,,10.3390/su12177015,3080865581
002-078-585-968-415,Metadata Squared: Enhancing Its Usability for Volunteered Geographic Information and the GeoWeb,2012-06-29,2012,book chapter,Crowdsourcing Geographic Knowledge,,Springer Netherlands,,Barbara S. Poore; Eric B. Wolf,"The Internet has brought many changes to the way geographic information is created and shared. One aspect that has not changed is metadata. Static spatial data quality descriptions were standardized in the mid-1990s and cannot accommodate the current climate of data creation where nonexperts are using mobile phones and other location-based devices on a continuous basis to contribute data to Internet mapping platforms. The usability of standard geospatial metadata is being questioned by academics and neogeographers alike. This chapter analyzes current discussions of metadata to demonstrate how the media shift that is occurring has affected requirements for metadata. Two case studies of metadata use are presented—online sharing of environmental information through a regional spatial data infrastructure in the early 2000s, and new types of metadata that are being used today in OpenStreetMap, a map of the world created entirely by volunteers. Changes in metadata requirements are examined for usability, the ease with which metadata supports coproduction of data by communities of users, how metadata enhances findability, and how the relationship between metadata and data has changed. We argue that traditional metadata associated with spatial data infrastructures is inadequate and suggest several research avenues to make this type of metadata more interactive and effective in the GeoWeb.",,,43,64,World Wide Web; Findability; Usability; Spatial data infrastructure; Geospatial metadata; Geoweb; Computer science; Volunteered geographic information; Metadata; Geospatial analysis,,10.1007/978-94-007-4587-2_4,226677948
002-118-479-361-63X,Analysis and visualisation of movement: an interdisciplinary review,2015-03-10,2015,journal article,Movement ecology,20513933,BioMed Central,United Kingdom,Urška Demšar; Kevin Buchin; Francesca Cagnacci; Kamran Safi; Bettina Speckmann; Nico Van de Weghe; Daniel Weiskopf; Robert Weibel,"The processes that cause and influence movement are one of the main points of enquiry in movement ecology. However, ecology is not the only discipline interested in movement: a number of information sciences are specialising in analysis and visualisation of movement data. The recent explosion in availability and complexity of movement data has resulted in a call in ecology for new appropriate methods that would be able to take full advantage of the increasingly complex and growing data volume. One way in which this could be done is to form interdisciplinary collaborations between ecologists and experts from information sciences that analyse movement. In this paper we present an overview of new movement analysis and visualisation methodologies resulting from such an interdisciplinary research network: the European COST Action “MOVE - Knowledge Discovery from Moving Objects” (http://www.move-cost.info). This international network evolved over four years and brought together some 140 researchers from different disciplines: those that collect movement data (out of which the movement ecology was the largest represented group) and those that specialise in developing methods for analysis and visualisation of such data (represented in MOVE by computational geometry, geographic information science, visualisation and visual analytics). We present MOVE achievements and at the same time put them in ecological context by exploring relevant ecological themes to which MOVE studies do or potentially could contribute.",3,1,5,5,Knowledge extraction; Data science; Spatio-Temporal Analysis; Cost action; Animal ecology; Visualization; Computer science; Geographic information system; Visual analytics; Information science,Animal movement; Computational geometry; Geographic information science; Interdisciplinary developments; Movement ecology; Spatio-temporal analysis; Spatio-temporal visualisation; Trajectories; Visual analytics; Visualisation,10.1186/s40462-015-0032-y,2107105962
002-138-818-558-68X,Defacing the Map: Cartographic Vandalism in the Digital Commons,2014-05-05,2014,journal article,The Cartographic Journal,00087041; 17432774,Informa UK Limited,United Kingdom,Andrea Ballatore,"This article addresses the emergent phenomenon of carto-vandalism, the intentional defacement of collaborative cartographic digital artefacts in the context of volunteered geographic information. Through a qualitative analysis of reported incidents in WikiMapia and OpenStreetMap, a typology of this kind of vandalism is outlined, including play, ideological, fantasy, artistic and industrial carto-vandalism, as well as carto-spam. Two families of counter-strategies deployed in amateur mapping communities are discussed. First, the contributors organize forms of policing, based on volunteered community involvement, patrolling the maps and reporting incidents. Second, the detection of carto-vandalism can be supported by automated tools, based either on explicit rules or on machine learning.",51,3,214,224,Internet privacy; Patrolling; Ideology; Geography; Commons-based peer production; Amateur; Digital Commons; Fantasy; Volunteered geographic information; Cartography; Typology,,10.1179/1743277414y.0000000085,2013170807
002-167-242-221-680,Mapping with Stakeholders: An Overview of Public Participatory GIS and VGI in Transport Decision-Making,2019-04-24,2019,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Nadia Giuffrida; Michela Le Pira; Giuseppe Inturri; Matteo Ignaccolo,"Transport decision-making problems are typically spatially based and involve a set of feasible alternatives with multiple evaluation criteria. Besides, transport decisions affect citizens’ quality of life, as well as specific interests of general stakeholders (e.g., transport companies), thus needing a participatory approach to decision-making. Geographic Information Systems (GIS) have the ability to visualize spatial data and represent the impact of location based transport alternatives, thus helping experts to conduct robust assessments. Moreover, with the recent diffusion of Volunteered Geographic Information (VGI) and development of Public Participatory GIS (PPGIS) platforms, the process can be enhanced thanks to the collection of a large amount of updated spatial data and the achievement of an active community participation. In this study, we provide an overview based on a structured literature review of the use of VGI and PPGIS in transport studies, exploring the fields of application, role played by GIS, level of public involvement and decision stage at which they are applied. From the overview’s results, we propose a general framework for the evaluation of transport alternatives using GIS from a multiple stakeholder point of view; the main conclusion is the usefulness of the integration between Public Participation, GIS and quantitative evaluation methods, in particular Multi Criteria Decision Analysis, in order to foster technically sound and shared decisions.",8,4,198,,Multiple-criteria decision analysis; Spatial analysis; Public participation; Participatory GIS; Transportation planning; Computer science; Geographic information system; Public participation GIS; Knowledge management; Volunteered geographic information,,10.3390/ijgi8040198,2942283335
002-208-926-637-52X,Collection method about volunteered geographic information based on Openlayers,,2013,journal article,Science of Surveying and Mapping,,,,Sun Gui-bo,,,,,,World Wide Web; Geography; Software; Open source software; Collection methods; Web service; Volunteered geographic information,,,2362584801
002-282-249-453-082,MusA: using indoor positioning and navigation to enhance cultural experiences in a museum.,2013-12-17,2013,journal article,"Sensors (Basel, Switzerland)",14248220; 14243210,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Irene Rubino; Jetmir Xhembulla; Andrea Martina; Andrea Giuseppe Bottino; Giovanni Malnati,"In recent years there has been a growing interest in the use of multimedia mobile guides in museum environments. Mobile devices have the capabilities to detect the user context and to provide pieces of information suitable to help visitors discover and follow the logical and emotional connections that develop during the visit. In this scenario, location based services (LBS) currently represent an asset, and the choice of the technology to determine users' position, combined with the definition of methods that can effectively convey information, become key issues in the design process. In this work, we present Museum Assistant (MusA), a general framework for the development of multimedia interactive guides for mobile devices. Its main feature is a vision-based indoor positioning system that allows the provision of several LBS, from way-finding to the contextualized communication of cultural contents, aimed at providing a meaningful exploration of exhibits according to visitors' personal interest and curiosity. Starting from the thorough description of the system architecture, the article presents the implementation of two mobile guides, developed to respectively address adults and children, and discusses the evaluation of the user experience and the visitors' appreciation of these applications.",13,12,17445,17471,World Wide Web; Location-based service; Mobile device; User experience design; Indoor positioning system; Navigation system; Context awareness; Curiosity; Computer science; Multimedia; Systems architecture,,10.3390/s131217445,2152987239
002-307-930-349-866,Understanding the dynamics of urban areas of interest through volunteered geographic information,2018-12-05,2018,journal article,Journal of Geographical Systems,14355930; 14355949,Springer Science and Business Media LLC,Germany,Meixu Chen; Dani Arribas-Bel; Alex Singleton,,21,1,89,109,Urban economics; Spatial analysis; Exploit; Data science; Urban structure; Smart city; Population; Visualization; Computer science; Volunteered geographic information,,10.1007/s10109-018-0284-3,2902550418
002-360-746-111-623,Risk perception during urban cycling in volunteered geographic information and in the lab: effects of the vista space’s spatial properties,2018-12-03,2018,journal article,Journal of Location Based Services,17489725; 17489733,Informa UK Limited,United Kingdom,Rul von Stülpnagel; Konstantin Schmid,,13,1,1,24,Risk perception; Human factors and ergonomics; Occupational safety and health; Injury prevention; Poison control; Computer science; Suicide prevention; Cycling; Volunteered geographic information; Applied psychology,,10.1080/17489725.2018.1552797,2902551555
002-413-708-736-32X,Supporting Accessibility for Blind and Vision‐impaired People With a Localized Gazetteer and Open Source Geotechnology,2012-04-13,2012,journal article,Transactions in GIS,13611682; 14679671,Wiley,United Kingdom,Matthew T. Rice; Ahmad O. Aburizaiza; R. Daniel Jacobson; Brandon M. Shore; Fabiana I Paez,"Disabled people, especially the blind and vision-impaired, are challenged by many transitory hazards in urban environments such as construction barricades, temporary fencing across walkways, and obstacles along curbs. These hazards present a problem for navigation, because they typically appear in an unplanned manner and are seldom included in databases used for accessibility mapping. Tactile maps are a traditional tool used by blind and vision-impaired people for navigation through urban environments, but such maps are not automatically updated with transitory hazards. As an alternative approach to static content on tactile maps, we use volunteered geographic information (VGI) and an Open Source system to provide updates of local infrastructure. These VGI updates, contributed via voice, text message, and e-mail, use geographic descriptions containing place names to describe changes to the local environment. After they have been contributed and stored in a database, we georeference VGI updates with a detailed gazetteer of local place names including buildings, administrative offices, landmarks, roadways, and dormitories. We publish maps and alerts showing transitory hazards, including location-based alerts delivered to mobile devices. Our system is built with several technologies including PHP, JavaScript, AJAX, Google Maps API, PostgreSQL, an Open Source database, and PostGIS, the PostgreSQL's spatial extension. This article provides insight into the integration of user-contributed geospatial information into a comprehensive system for use by the blind and vision-impaired, focusing on currently developed methods for geoparsing and georeferencing using a gazetteer.",16,2,177,190,World Wide Web; Mobile device; Geography; Geoparsing; Open source; Publication; Ajax; JavaScript; Volunteered geographic information; Geospatial analysis,,10.1111/j.1467-9671.2012.01318.x,1482335839
002-420-951-261-841,"Exploring the Intraurban Digital Divide Using Online Restaurant Reviews: A Case Study in Franklin County, Ohio",2014-01-10,2014,journal article,The Professional Geographer,00330124; 14679272,Informa UK Limited,United Kingdom,James Baginski; Daniel Z. Sui; Edward J. Malecki,"Web 2.0 has yielded a wealth of publicly available data, largely through the popularization of social media and the proliferation of user-generated content (UGC). Thus, the data void in social science research is diminishing as these new data sources are exploited. The discipline of geography, in particular, stands to benefit considerably from geotagged UGC or volunteered geographic information (VGI). In this article, we utilize a form of UGC—restaurant reviews—to evaluate the geography of Web 2.0 in Franklin County, Ohio. We find that restaurant reviews are largely concentrated in relatively few areas of the city, indicating that the impacts of Web 2.0 have not touched down evenly within the central county of the Columbus metropolitan statistical area. We argue that an intraurban digital divide is still apparent and might even be exacerbated by Web 2.0.",66,3,443,455,Advertising; Web 2.0; Regional science; Digital divide; Geography; Metropolitan statistical area; Social science research; Social media; Volunteered geographic information,,10.1080/00330124.2013.866431,1970763879
