Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Publication Supplementary Type,Citation IDs,Languages
023-036-742-444-209,Citizen-based sensing of crisis events: sensor web enablement for volunteered geographic information,2011-07-19,2011,journal article,Applied Geomatics,18669298; 1866928x,Springer Science and Business Media LLC,Germany,Sven Schade; Laura Díaz; Frank O. Ostermann; Laura Spinsanti; Gianluca Luraschi; Simon Cox; Manoli Nuñez; Bertrand De Longueville,"Thanks to recent convergence of greater access to broadband connections, the availability of Global Positioning Systems in small packages at affordable prices and more participative forms of interaction on the Web (Web 2.0), vast numbers of individuals became able to create and share Volunteered Geographic Information (VGI). The potential of up to six billion persons to monitor the state of the environment, validate global models with local knowledge, contribute to crisis situations awareness, and provide information that only humans can capture is vast and has yet to be fully exploited. Integrating VGI into Spatial Data Infrastructures (SDI) is a major challenge, as it is often regarded as insufficiently structured, documented, or validated according to scientific standards. Early instances of SDIs used to have limited ability to manage and process geosensor-based data (beyond remotely sensed imagery), which tend to arrive in continuous streams of real-time information. The current works on standards for Sensor Web Enablement fill this gap. This paper shows how such standards can be applied to VGI, thus converting it in a timely, cost-effective and valuable source of information for SDIs. By doing so, we extend previous efforts describing a workflow for VGI integration into SDI and further advance an initial set of VGI Sensing and event detection techniques. Examples of how such VGI Sensing techniques can support crisis information system are provided. The presented approach serves central building blocks for a Digital Earth’s nervous system, which is required to develop the next generation of (geospatial) information infrastructures.JRC.H.6-Digital Earth and Reference Dat",5,1,3,18,Digital Earth; World Wide Web; Spatial analysis; Workflow; Information system; Spatial data infrastructure; Geography; State of the Environment; Volunteered geographic information; Geospatial analysis,,,,,https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F28b76832-6be1-41bd-afec-dc20b5233e58 http://repositori.uji.es/xmlui/handle/10234/43682 https://utwente-staging.elsevierpure.com/en/publications/citizen-based-sensing-of-crisis-events-sensor-web-enablement-for- http://repositori.uji.es/xmlui/bitstream/10234/43682/1/49394.pdf http://publications.jrc.ec.europa.eu/repository/handle/JRC59363 http://dial.uclouvain.be/pr/boreal/object/boreal:160796 https://link.springer.com/article/10.1007/s12518-011-0056-y https://publications.csiro.au/rpr/pub?pid=csiro:EP11008 https://core.ac.uk/display/61409532 https://rd.springer.com/article/10.1007/s12518-011-0056-y http://www.iapad.org/wp-content/uploads/2015/07/ID_02.pdf https://research.utwente.nl/en/publications/citizen-based-sensing-of-crisis-events-sensor-web-enablement-for-,http://dx.doi.org/10.1007/s12518-011-0056-y,10.1007/s12518-011-0056-y,2045904660,,0,004-316-910-691-741; 005-374-785-075-748; 005-896-305-143-114; 006-612-965-080-699; 011-117-899-271-579; 012-036-876-395-351; 017-843-441-399-647; 026-072-640-174-348; 029-263-057-554-467; 030-956-330-410-016; 032-903-495-847-439; 040-267-517-107-219; 045-515-595-594-237; 049-648-174-134-552; 061-919-737-879-635; 066-860-347-324-309; 067-473-416-042-927; 085-281-531-685-553; 091-383-939-895-049; 103-859-285-040-344; 104-591-128-843-065; 117-079-199-118-919; 135-360-535-210-851; 143-957-295-030-748; 150-712-123-658-158; 158-847-532-778-731; 171-544-875-588-246; 185-701-246-919-65X; 188-678-650-340-531,62,,(magid) 2045904660; (coreid) 38629778; (doi) 10.1007/s12518-011-0056-y,en; es
023-126-228-930-553,Evaluation of the EpiCore outbreak verification system.,2018-03-16,2018,journal article,Bulletin of the World Health Organization,15640604; 00429686,World Health Organization,Switzerland,Taryn Silver Lorthe; Marjorie P. Pollack; Britta Lassmann; John S. Brownstein; Emily Cohn; Nomita Divi; Dionisio Jose Herrera-Guibert; Jennifer M. Olsen; Mark S. Smolinski; Lawrence C. Madoff,"<AbstractText Label=""Objective"" NlmCategory=""UNASSIGNED"">To describe a crowdsourced disease surveillance project (EpiCore) and evaluate its usefulness in obtaining information regarding potential disease outbreaks.</AbstractText>;           <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">Volunteer human, animal and environmental health professionals from around the world were recruited to EpiCore and trained to provide early verification of health threat alerts in their geographical region via a secure, easy-to-use, online platform. Experts in the area of emerging infectious diseases sent requests for information on unverified health threats to these volunteers, who used local knowledge and expertise to respond to requests. Experts reviewed and summarized the responses and rapidly disseminated important information to the global health community through the existing event-based disease surveillance network, ProMED.</AbstractText>;           <AbstractText Label=""Findings"" NlmCategory=""UNASSIGNED"">From March 2016 to September 2017, 2068 EpiCore volunteers from 142 countries were trained in methods of informal disease surveillance and use of the EpiCore online platform. These volunteers provided 790 individual responses to 759 requests for information addressing unverified health threats in 112 countries; 361 (45%) responses were considered to be useful. Most responses were received within hours of the requests. The responses led to 194 ProMED posts, of which 99 (51%) supported verification of an outbreak, were published on ProMED and sent to over 87 000 subscribers.</AbstractText>;           <AbstractText Label=""Conclusion"" NlmCategory=""UNASSIGNED"">There is widespread willingness among health professionals around the world to voluntarily assist efforts to verify and provide supporting information on unconfirmed health threats in their region. By linking this member network of health experts through a secure online reporting platform, EpiCore enables faster global outbreak detection and reporting.</AbstractText>",96,5,327,334,Outbreak; Business; Disease surveillance; Disease; Verification system; Health professionals; Global health; Medical emergency,,"Animals; Child; Communicable Diseases, Emerging/epidemiology; Disease Outbreaks; Epidemiological Monitoring; Female; Global Health; Humans; Male; Population Surveillance/methods; Prospective Studies; Public Health; United States",,,https://dx.doi.org/10.2471/blt.17.207225 https://dash.harvard.edu/handle/1/37298354 https://core.ac.uk/display/160024969 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5985427/ http://europepmc.org/abstract/MED/29875517 https://www.questia.com/library/journal/1G1-543899949/evaluation-of-the-epicore-outbreak-verification-system http://dx.doi.org/10.2471/blt.17.207225,http://dx.doi.org/10.2471/blt.17.207225,10.2471/blt.17.207225,2801655663,PMC5985427,0,002-698-249-653-26X; 018-475-688-557-467; 021-767-151-767-918; 044-127-128-924-961; 060-802-889-888-017; 072-638-408-588-472; 075-063-005-998-850; 113-610-349-472-98X; 120-171-787-308-807,1,evaluation study,(pmcid) pmc5985427; (pmid) 29875517; (magid) 2801655663; (doi) 10.2471/blt.17.207225; (pii) blt.17.207225,en
023-290-850-444-285,A Photogrammetric Approach for Assessing Positional Accuracy of OpenStreetMap© Roads,2013-04-02,2013,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Roberto Canavosio-Zuzelski; Peggy Agouris; Peter J. Doucette,"As open source volunteered geographic information continues to gain popularity, the user community and data contributions are expected to grow, e.g., CloudMade, Apple, and Ushahidi now provide OpenStreetMap© (OSM) as a base layer for some of their mapping applications. This, coupled with the lack of cartographic standards and the expectation to one day be able to use this vector data for more geopositionally sensitive applications, like GPS navigation, leaves potential users and researchers to question the accuracy of the database. This research takes a photogrammetric approach to determining the positional accuracy of OSM road features using stereo imagery and a vector adjustment model. The method applies rigorous analytical measurement principles to compute accurate real world geolocations of OSM road vectors. The proposed approach was tested on several urban gridded city streets from the OSM database with the results showing that the post adjusted shape points improved positionally by 86%. Furthermore, the vector adjustment was able to recover 95% of the actual positional displacement present in the database. To demonstrate a practical application, a head-to-head positional accuracy assessment between OSM, the USGS National Map (TNM), and United States Census Bureau’s Topologically Integrated Geographic Encoding Referencing (TIGER) 2007 roads was conducted",2,2,276,301,Photogrammetry; Data mining; Encoding (memory); Geography; Gps navigation; Stereo imagery; Open source; The National Map; Volunteered geographic information,,,,,https://www.mdpi.com/2220-9964/2/2/276/htm https://dx.doi.org/10.3390/ijgi2020276 https://dblp.uni-trier.de/db/journals/ijgi/ijgi2.html#Canavosio-ZuzelskiAD13 https://www.mdpi.com/2220-9964/2/2/276/pdf https://ui.adsabs.harvard.edu/abs/2013IJGI....2..276C/abstract,http://dx.doi.org/10.3390/ijgi2020276,10.3390/ijgi2020276,2018463030,,0,007-854-242-819-750; 011-567-887-224-394; 015-525-637-992-606; 026-645-756-189-301; 029-688-231-861-301; 030-217-575-405-566; 032-953-260-643-162; 038-976-596-179-447; 039-429-815-992-31X; 045-701-024-430-086; 045-755-847-822-287; 057-175-571-636-241; 057-545-918-303-995; 069-146-006-064-335; 103-830-447-132-833; 120-348-450-238-234; 120-572-254-253-660; 124-061-530-692-848; 138-847-225-776-212; 144-834-086-453-740; 159-943-165-088-603; 166-852-791-739-426; 170-875-508-164-337; 173-701-594-641-45X; 192-089-349-037-735,20,,(magid) 2018463030; (coreid) 28426198; (doi) 10.3390/ijgi2020276,en
023-372-294-408-871,Quantifying Flood Water Levels Using Image-Based Volunteered Geographic Information,2020-02-21,2020,journal article,Remote Sensing,20724292,MDPI AG,Switzerland,Yan Ting Lin; Ming-Der Yang; Jen-Yu Han; Yuan-Fong Su; Jiun Huei Jang,"<jats:p>Many people use smartphone cameras to record their living environments through captured images, and share aspects of their daily lives on social networks, such as Facebook, Instagram, and Twitter. These platforms provide volunteered geographic information (VGI), which enables the public to know where and when events occur. At the same time, image-based VGI can also indicate environmental changes and disaster conditions, such as flooding ranges and relative water levels. However, little image-based VGI has been applied for the quantification of flooding water levels because of the difficulty of identifying water lines in image-based VGI and linking them to detailed terrain models. In this study, flood detection has been achieved through image-based VGI obtained by smartphone cameras. Digital image processing and a photogrammetric method were presented to determine the water levels. In digital image processing, the random forest classification was applied to simplify ambient complexity and highlight certain aspects of flooding regions, and the HT-Canny method was used to detect the flooding line of the classified image-based VGI. Through the photogrammetric method and a fine-resolution digital elevation model based on the unmanned aerial vehicle mapping technique, the detected flooding lines were employed to determine water levels. Based on the results of image-based VGI experiments, the proposed approach identified water levels during an urban flood event in Taipei City for demonstration. Notably, classified images were produced using random forest supervised classification for a total of three classes with an average overall accuracy of 88.05%. The quantified water levels with a resolution of centimeters (&lt;3-cm difference on average) can validate flood modeling so as to extend point-basis observations to area-basis estimations. Therefore, the limited performance of image-based VGI quantification has been improved to help in flood disasters. Consequently, the proposed approach using VGI images provides a reliable and effective flood-monitoring technique for disaster management authorities.</jats:p>",12,4,706,,Flood water; Image based; Environmental science; Volunteered geographic information; Cartography,,,,,https://researchoutput.ncku.edu.tw/zh/publications/quantifying-flood-water-levels-using-image-based-volunteered-geog https://doi.org/10.3390/rs12040706 https://dblp.uni-trier.de/db/journals/remotesensing/remotesensing12.html#LinYHSJ20,http://dx.doi.org/10.3390/rs12040706,10.3390/rs12040706,3007088614,,0,000-958-771-489-242; 002-135-704-523-450; 002-555-907-164-663; 003-404-617-962-913; 003-415-419-649-591; 004-806-499-017-475; 006-381-906-970-012; 008-249-751-134-726; 011-056-974-599-675; 011-535-480-458-942; 011-736-441-907-136; 011-854-399-312-637; 014-000-764-330-818; 016-553-126-571-580; 016-993-963-862-990; 017-465-705-893-310; 020-110-218-876-981; 025-038-008-940-533; 025-757-157-288-447; 026-813-377-082-168; 027-736-997-184-595; 028-495-533-350-163; 030-800-470-784-537; 032-640-154-699-448; 034-414-927-357-560; 038-100-702-021-293; 040-184-564-272-635; 044-311-794-361-849; 047-793-127-061-993; 049-749-795-511-536; 055-474-954-606-979; 061-445-504-147-693; 063-983-168-292-98X; 064-919-906-283-461; 067-697-684-166-435; 069-204-486-700-267; 069-268-212-190-477; 073-593-502-368-329; 073-832-392-652-34X; 075-359-691-361-886; 079-117-605-176-945; 080-101-827-559-027; 087-529-691-896-842; 093-841-024-526-630; 094-455-335-604-756; 098-211-034-015-426; 102-932-854-677-348; 104-185-970-807-791; 108-161-528-629-012; 110-375-191-298-486; 110-434-852-093-742; 112-160-486-845-074; 112-896-130-418-591; 122-195-241-088-178; 123-498-859-171-509; 133-067-125-638-77X; 138-959-118-251-345; 141-113-107-745-808; 161-851-510-585-226; 169-165-992-980-624; 171-545-246-207-265; 192-714-059-570-954,4,,(doi) 10.3390/rs12040706; (magid) 3007088614,zh_cht
024-043-213-282-39X,Torino 2006. XX Olympic and IX Paralympic Winter Games: the ENT experience.,,2008,journal article,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale,0392100x; 1827675x,Pacini Editore s.r.l.,Italy,Giovanni Succo; E. Crosetti; A. Mattiazzo; Riontino E; Giuseppe Massazza,"A total of 27 competition days, more than 3000 athletes, over 10,000 components of the Olympic family, 3,500 workers, 2,500 volunteers, an overall business of more than 2 billion Euros. These, in a nutshell, are just a few of the data concerning the XX Olympic and the IX Paralympic Winter Games, Torino, Italy, 2006. Such a huge event, obviously required a meticulously organized medical service to cope with the healthcare of the athletes, official workers and the Olympic family, distributed over a geographic area of approximately 80 km in diameter. An ENT service was organized within the medical service, which was divided between 3 Polyclinics, in which 12 ENT Specialists were on duty. The present report gives an account of the final data concerning the service involved, together with a description of the approach used in the actual organization, with a view to providing useful information for colleagues who will be called upon, for a similar service, in future Olympic Winter Games. The ENT healthcare offered was confirmed to be proportional to the requirements, both from a qualitative and quantitative point of view. All the ENT specialists involved, reported having gained an immense store of human experience from having lived the Olympic atmosphere as a volunteer exerting one's own profession. The facilities available in the Polyclinics, which were at a considerable distance from the Hospital, were found to be more than adequate with respect to the pathological conditions and service requested, particularly in 17% of the cases which would otherwise have been sent to a Hospital Outpatient Unit at least 80 km away.",28,3,101,109,Health care; Euros; Duty; Athletes; Health services; Geographic area; Competitive behavior; Public relations; Medicine,,Competitive Behavior; Health Services/supply & distribution; Humans; International Cooperation; Italy; Otolaryngology/methods; Otorhinolaryngologic Diseases/epidemiology; Prevalence; Seasons; Sports,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2644984/ http://europepmc.org/articles/PMC2644984 https://www.actaitalica.it/issues/2008/3-08/succo.pdf https://moh-it.pure.elsevier.com/en/publications/torino-2006-xx-olympic-and-ix-paralympic-winter-games-the-ent-exp,https://www.ncbi.nlm.nih.gov/pubmed/18646571,,2108399628,PMC2644984,0,001-750-854-644-643; 016-227-622-699-280; 024-330-557-368-578; 029-738-939-744-349; 035-274-120-935-686; 044-389-102-950-635; 046-036-473-466-69X; 072-449-905-448-507; 084-645-115-916-891; 151-167-919-541-145,3,,(pmcid) pmc2644984; (magid) 2108399628; (pmid) 18646571,en
024-154-845-039-250,Analyzing Urban Spatial Patterns and Functional Zones Using Sina Weibo POI Data: A Case Study of Beijing,2021-01-12,2021,journal article,Sustainability,20711050,MDPI AG,Switzerland,Ruomu Miao; Yuxia Wang; Shuang Li,"<jats:p>With the development of Web2.0 and mobile Internet, urban residents, a new type of “sensor”, provide us with massive amounts of volunteered geographic information (VGI). Quantifying the spatial patterns of VGI plays an increasingly important role in the understanding and development of urban spatial functions. Using VGI and social media activity data, this article developed a method to automatically extract and identify urban spatial patterns and functional zones. The method is put forward based on the case of Beijing, China, and includes the following three steps: (1) Obtain multi-source urban spatial data, such as Weibo data (equivalent to Twitter in Chinese), OpenStreetMap, population data, etc.; (2) Use the hierarchical clustering algorithm, term frequency-inverse document frequency (TF-IDF) method, and improved k-means clustering algorithms to identify functional zones; (3) Compare the identified results with the actual urban land uses and verify its accuracy. The experiment results proved that our method can effectively identify urban functional zones, and the results provide new ideas for the study of urban spatial patterns and have great significance in optimizing urban spatial planning.</jats:p>",13,2,647,,Spatial ecology; Spatial analysis; Spatial planning; Beijing; Computer science; Social media; Volunteered geographic information; Cartography; Cluster analysis; Hierarchical clustering,,,,National Natural Science Foundation of China,https://www.mdpi.com/2071-1050/13/2/647 https://www.mdpi.com/2071-1050/13/2/647/pdf,http://dx.doi.org/10.3390/su13020647,10.3390/su13020647,3118899681,,0,000-547-857-067-861; 004-507-184-799-767; 004-910-595-515-175; 005-931-905-821-952; 007-052-221-075-524; 013-913-117-285-125; 034-856-419-439-496; 036-503-969-976-180; 039-946-858-751-984; 042-593-973-586-483; 052-940-055-503-50X; 057-545-918-303-995; 061-161-947-333-95X; 063-089-152-014-890; 063-410-080-541-592; 066-651-325-496-782; 067-169-497-641-14X; 085-593-527-418-48X; 086-792-079-699-326; 114-459-784-258-926; 118-143-827-311-964; 120-492-797-934-374; 123-728-438-057-67X; 138-195-957-651-561; 147-922-279-250-64X; 150-209-291-173-477; 173-308-184-207-684,1,,(magid) 3118899681; (doi) 10.3390/su13020647,en
024-595-107-298-297,Walking to School in Japan and Childhood Obesity Prevention: New Lessons From an Old Policy,2012-09-20,2012,journal article,American journal of public health,15410048; 00900036,American Public Health Association Inc.,United States,Nagisa Mori; Francisco Armada; D. Craig Willcox,"<AbstractText Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"">We analyzed the Japan's walking-to-school practice implemented in 1953 for lessons useful to other cities and countries.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">We reviewed background documents (gray literature, online government information, local policy documents, and regulations) for existing regulations in several urban settings. We also contacted boards of education.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Each municipality has a board of education in charge of public schools, which considers the geography, climate, and the transport situation to determine the method of commuting. Because there is high availability of schools in urban areas and most are located within walking range of the children's homes, walking is the most common method. There are different safety initiatives depending on the district's characteristics. Parents, school staff, and local volunteers are involved in supervision.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">The walk-to-school practice has helped combat childhood obesity by providing regular physical activity. Recommendations to cities promoting walking to school are (1) base interventions on the existing network of schools and adapt the provision to other local organizations, (2) establish safety measures, and (3) respond specifically to local characteristics. Besides the well-established safety interventions, the policy's success may also be associated with Japan's low crime rate.</AbstractText>",102,11,2068,2073,Government; Geography; Childhood obesity; Common method; Local policy; Physical activity; Economic growth; Grey literature; Correlation and dependence; Environmental health,,Child; Health Policy; Humans; Japan/epidemiology; Obesity/epidemiology; Prevalence; Safety Management; Schools/statistics & numerical data; Urban Population/statistics & numerical data; Walking/statistics & numerical data,,,https://ajph.aphapublications.org/doi/10.2105/AJPH.2012.300913 https://dialnet.unirioja.es/servlet/articulo?codigo=6781645 https://dissem.in/p/9158843/walking-to-school-in-japan-and-childhood-obesity-prevention-new-lessons-from-an-old-policy http://www.ncbi.nlm.nih.gov/pubmed/22994195,http://dx.doi.org/10.2105/ajph.2012.300913,10.2105/ajph.2012.300913,2140780393,PMC3477970,0,000-158-927-348-409; 003-122-013-066-899; 012-883-871-030-342; 017-865-566-716-084; 020-403-323-850-838; 023-194-128-372-413; 024-251-610-112-403; 029-216-270-226-524; 063-650-786-469-249; 065-745-552-447-850; 065-795-099-501-809; 068-758-887-341-099; 092-834-880-812-566; 095-001-259-212-012; 115-272-475-699-337; 121-232-785-051-115,35,,(pmid) 22994195; (doi) 10.2105/ajph.2012.300913; (magid) 2140780393; (pmcid) pmc3477970,en
024-821-361-583-23X,TOWARDS RULE-GUIDED CLASSIFICATION FOR VOLUNTEERED GEOGRAPHIC INFORMATION,2015-08-19,2015,journal article,"ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences",21949050,Copernicus GmbH,,A. Loai Ali; Falko Schmid; Zoe Falomir; Christian Freksa,"<jats:p>Abstract. Crowd-sourcing, especially in form of Volunteered Geographic Information (VGI) significantly changed the way geographic data is collected and the products that are generated from them. In VGI projects, contributors’ heterogeneity fosters rich data sources, however with problematic quality. In this paper, we tackle data quality from a classification perspective. Particularly in VGI, data classification presents some challenges: In some cases, the classification of entities depends on individual conceptualization about the environment. Whereas in other cases, a geographic feature itself might have ambiguous characteristics. These problems lead to inconsistent and inappropriate classifications. To face these challenges, we propose a guided classification approach. The approach employs data mining algorithms to develop a classifier, through investigating the geographic characteristics of target feature classes. The developed classifier acts to distinguish between related classes like forest, meadow and park. Then, the classifier could be used to guide the contributors during the classification process. The findings of an empirical study illustrate that the developed classifier correctly predict some classes. However, it still has a limited accuracy with other related classes.;                     </jats:p>",II-3/W5,,211,217,Empirical research; Information retrieval; Data quality; Data classification; Classifier (linguistics); Data mining algorithm; Geographic feature; Computer science; Volunteered geographic information; Conceptualization,,,,,https://doaj.org/article/d892c8d7cdd6433aa7e50888e3fa0dd1 http://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/II-3-W5/211/2015/ https://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/II-3-W5/211/2015/isprsannals-II-3-W5-211-2015.pdf https://ui.adsabs.harvard.edu/abs/2015ISPAn.II3..211L/abstract,http://dx.doi.org/10.5194/isprsannals-ii-3-w5-211-2015,10.5194/isprsannals-ii-3-w5-211-2015,2286578449,,0,006-057-019-890-636; 006-408-131-340-003; 007-684-128-166-136; 008-655-662-451-459; 022-473-450-579-960; 027-666-068-785-379; 029-963-409-674-751; 030-975-962-975-895; 031-636-768-715-141; 033-635-116-524-700; 034-481-759-393-510; 038-976-596-179-447; 040-267-517-107-219; 041-658-614-339-032; 041-793-028-069-027; 048-702-561-381-148; 051-285-080-856-898; 057-545-918-303-995; 062-441-104-889-477; 067-793-529-827-539; 071-490-604-491-921; 088-339-711-439-200; 094-336-360-386-20X; 095-607-318-877-177; 097-338-432-344-323; 097-612-174-011-049; 123-071-990-086-470; 145-350-454-429-564; 147-876-713-700-216; 150-682-937-572-48X,6,,(doi) 10.5194/isprsannals-ii-3-w5-211-2015; (magid) 2286578449; (coreid) 91668101,en
024-825-619-111-247,Selected modern methods and tools for public participation in urban planning - a review,2018-09-06,2018,journal article,Quaestiones Geographicae,20816383; 0137477x,Walter de Gruyter GmbH,Poland,Muki Haklay; Piotr Jankowski; Zbigniew Zwoliński,"The paper presents a review of contributions to the scientific discussion on modern methods and tools for public participation in urban planning. This discussion took place in Obrzycko near Poznan, Poland. The meeting was designed to allow for an ample discussion on the themes of public participatory geographic information systems, participatory geographic information systems, volunteered geographic information, citizen science, Geoweb, geographical information and communication technology, Geo-Citizen participation, geo-questionnaire, geo-discussion, GeoParticipation, Geodesign, Big Data and urban planning. Participants in the discussion were scholars from Austria, Brazil, the Czech Republic, Finland, Ireland, Italy, the Netherlands, Poland, the United Kingdom, and the USA. A review of public participation in urban planning shows new developments in concepts and methods rooted in geography, landscape architecture, psychology, and sociology, accompanied by progress in geoinformation and communication technologies. The discussions emphasized that it is extremely important to state the conditions of symmetric cooperation between city authorities, urban planners and public participation representatives, social organizations, as well as residents.",37,3,127,149,Sociology; Geodesign; Citizen science; Landscape architecture; Geoweb; Public participation; Public relations; Geographic information system; Urban planning; Volunteered geographic information,,,,,https://content.sciendo.com/view/journals/quageo/37/3/article-p127.xml?language=en http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-b65b89fd-3568-4685-a000-957747118163 https://ideas.repec.org/a/vrs/quageo/v37y2018i3p127-149n9.html,http://dx.doi.org/10.2478/quageo-2018-0030,10.2478/quageo-2018-0030,2891302686,,0,006-098-988-743-994; 006-358-139-947-325; 017-553-071-003-821; 022-533-109-316-157; 022-911-454-266-934; 023-688-654-009-219; 027-063-739-077-654; 029-887-702-878-882; 032-419-568-910-87X; 040-531-633-833-779; 047-269-456-641-648; 050-623-712-270-573; 063-231-503-055-665; 086-615-384-168-970; 097-579-374-197-990; 117-378-186-528-601; 148-578-690-684-778; 173-837-231-026-362; 175-386-441-788-026; 179-597-652-050-422; 185-569-807-709-594; 186-310-164-024-076,7,,(doi) 10.2478/quageo-2018-0030; (magid) 2891302686,en
025-305-744-400-571,Crowdsourcing Street View Imagery: A Comparison of Mapillary and OpenStreetCam,2020-05-26,2020,journal article,ISPRS International Journal of Geo-Information,22209964,MDPI AG,Switzerland,Ron Mahabir; Ross Schuchard; Andrew Crooks; Arie Croitoru; Anthony Stefanidis,"<jats:p>Over the last decade, Volunteered Geographic Information (VGI) has emerged as a viable source of information on cities. During this time, the nature of VGI has been evolving, with new types and sources of data continually being added. In light of this trend, this paper explores one such type of VGI data: Volunteered Street View Imagery (VSVI). Two VSVI sources, Mapillary and OpenStreetCam, were extracted and analyzed to study road coverage and contribution patterns for four US metropolitan areas. Results show that coverage patterns vary across sites, with most contributions occurring along local roads and in populated areas. We also found that a few users contributed most of the data. Moreover, the results suggest that most data are being collected during three distinct times of day (i.e., morning, lunch and late afternoon). The paper concludes with a discussion that while VSVI data is still relatively new, it has the potential to be a rich source of spatial and temporal information for monitoring cities.</jats:p>",9,6,341,,Metropolitan area; Geography; Late afternoon; Temporal information; Volunteered geographic information; Cartography; Crowdsourcing,,,,,https://ui.adsabs.harvard.edu/abs/2020IJGI....9..341M/abstract https://www.mdpi.com/2220-9964/9/6/341 https://dblp.uni-trier.de/db/journals/ijgi/ijgi9.html#MahabirSCCS20 https://doi.org/10.3390/ijgi9060341 https://www.mdpi.com/2220-9964/9/6/341/pdf,http://dx.doi.org/10.3390/ijgi9060341,10.3390/ijgi9060341,3030624209,,0,000-523-165-640-923; 004-205-506-532-712; 004-237-307-047-366; 004-836-286-822-531; 005-222-101-092-166; 006-881-687-694-396; 008-127-307-013-236; 009-606-024-893-450; 012-516-254-994-918; 020-132-620-861-048; 021-041-484-242-674; 022-267-756-409-094; 023-764-343-000-235; 026-553-040-934-312; 026-839-507-648-103; 027-979-325-696-455; 031-450-942-446-667; 035-840-514-116-556; 038-976-596-179-447; 039-499-260-186-536; 041-545-489-602-776; 043-093-687-022-746; 046-147-535-387-535; 049-283-737-018-880; 050-054-324-728-688; 051-114-728-459-021; 052-200-840-177-558; 053-668-765-543-510; 057-545-918-303-995; 062-502-142-237-10X; 062-851-465-159-260; 063-905-585-038-831; 065-162-988-058-755; 065-487-565-021-294; 067-692-042-057-920; 068-733-865-752-101; 074-774-339-923-765; 080-549-909-944-047; 080-991-010-602-323; 081-686-689-177-807; 084-840-578-733-040; 089-834-504-117-385; 090-605-464-863-952; 093-701-157-926-086; 102-390-296-316-869; 102-849-677-910-286; 104-777-046-440-225; 111-289-249-059-150; 122-580-797-379-967; 126-576-668-406-897; 128-630-302-259-009; 131-426-381-623-381; 149-270-292-786-600; 157-938-773-279-404; 162-906-737-836-677; 164-195-973-903-936; 177-134-983-663-65X; 191-482-485-372-989,2,,(magid) 3030624209; (doi) 10.3390/ijgi9060341,en
